207,NVIDIA Z370 GODLIKE GAMING (MS-7A98),1151
216,MSI MPG X570 GAMING EDGE WIFI (MS-7C37),AM4
221,MSI MAG X570 TOMAHAWK WIFI (MS-7C84),AM4
222,ASUS RAMPAGE V EXTREME,2066
226,ASUS ROG MAXIMUS XI EXTREME,1151
236,MSI Z170A GAMING M5 (MS-7977),1151
241,ASUS ROG MAXIMUS XI CODE,1151
242,ASUS CROSSHAIR VI HERO,AM4
244,MSI X470 GAMING M7 AC (MS-7B77),AM4
246,ASUS PRIME X299-DELUXE II,2066
247,ASUS ROG CROSSHAIR VII HERO (WI-FI),AM4
252,MSI MEG X399 CREATION (MS-7B92),TR4
254,MSI Z270 GAMING M7 (MS-7A57),1151
257,ASUS STRIX X99 GAMING,2011-3
259,MSI Z170A GAMING PRO (MS-7984),1151
260,ASUS ROG MAXIMUS XI HERO,1151
266,Gigabyte B550 AORUS ELITE AX,AM4
267,ASUS X99-DELUXE II,2011-3
273,Gigabyte X470 AORUS GAMING 7 WIFI-CF,AM4
277,ASUS TUF Z390-PLUS GAMING (WI-FI),1151
283,ASUSTeK ROG MAXIMUS X HERO,1151
284,MSI MAG Z390 TOMAHAWK (MS-7B18),1151
288,ASUS ROG STRIX X299-XE GAMING,2066
291,ASUS PRIME X570-P,AM4
292,MSI X470 GAMING PRO CARBON (MS-7B78),AM4
293,ASRock X370 Taichi,AM4
296,Gigabyte Z390 AORUS XTREME WATERFORCE-CF,1151
297,ASUS X99-DELUXE,2011-3
302,MSI Z270 XPOWER GAMING TITANIUM (MS-7A58),1151
304,MSI MEG Z390 ACE (MS-7B12),1151
307,ASRock Z390 Phantom Gaming 4,1151
310,Gigabyte X299 AORUS Gaming 7,2066
311,ASRock Z370 Extreme4,1151
313,Gigabyte X299 AORUS Gaming 9,2066
317,Gigabyte Z390 AORUS XTREME WATERFORCE5G-CF,1151
319,ASRock AB350 Gaming-ITX/ac,AM4
327,ASUS P8P67 DELUXE,1155
332,Gigabyte TRX40 AORUS PRO WIFI,sTRX4
335,ASUS Z170-A,1151
339,Gigabyte X570 AORUS XTREME,AM4
344,ASRock X570 AQUA,AM4
350,MSI X299 XPOWER GAMING AC (MS-7A91),2066
353,ASUS ROG STRIX Z370-I GAMING,1151
369,ASRock X99 Extreme6/ac,2011-3
371,ASUS PRIME Z390M-PLUS,1151
378,ASUS PRIME X470-PRO,AM4
383,MSI MPG Z390M GAMING EDGE AC (MS-7B50),1151
391,MSI X370 KRAIT GAMING (MS-7A33),AM4
394,Gigabyte Z390 AORUS XTREME-CF,1151
395,Gigabyte Z170X-UD5 TH-CF,1151
407,ASRock X299E-ITX/ac,2066
408,ASRock X99M Extreme4,2011-3
411,MSI X299 GAMING M7 ACK (MS-7A90),2066
414,ASUS ROG STRIX B450-F GAMING,AM4
415,ASUS ROG STRIX X470-I GAMING,AM4
416,Gigabyte Z170X-UD5-CF,1151
417,EVGA X299 MICRO,2066
420,ASRock B450 Gaming-ITX/ac,AM4
422,Gigabyte Z390 AORUS ELITE-CF,1151
430,ASUS ROG CROSSHAIR VI EXTREME,AM4
433,Gigabyte Z390 AORUS PRO-CF,1151
434,ASUS ROG STRIX X470-F GAMING,AM4
442,ASUS ROG STRIX B450-I GAMING,1M4
444,ASRock X399 Professional Gaming,TR4
449,ASUS PRIME Z370-A II,1151
452,ASRock X470 Taichi,AM4
455,ASRock TRX40 Creator,sTRX4
459,MSI Z370 GAMING PRO CARBON (MS-7B45),1151
469,ASUS TUF Z270 MARK 1,1151
470,ASUS ROG ZENITH EXTREME,TR4
473,MSI MPG Z490 GAMING EDGE WIFI (MS-7C79),1200
478,MSI X299 GAMING PRO CARBON AC (MS-7A95),2066
486,ASUS RAMPAGE V EDITION 10,2011-3
493,ASUS ROG STRIX X370-F GAMING,AM4
502,EVGA Z390 FTW,1151
505,MSI Z170A KRAIT GAMING R6 SIEGE (MS-7A11),1151
506,MSI TRX40 PRO WIFI (MS-7C60),sTRX4
507,ASRock X399 Taichi,TR4
512,ASUS PRIME Z390-P,1151
513,MSI Z370I C2018 (MS-7B43),1151
532,ASUS MAXIMUS VI GENE,1150
533,MSI PRESTIGE X570 CREATION (MS-7C36),AM4
537,Gigabyte X99-UD4-CF,2011-3
538,Gigabyte Z490 GAMING X,1200
542,ASRock X99 Professional Gaming i7,2011-3
549,ASUS ROG STRIX Z370-G GAMING (WI-FI AC),1151
550,ASUS STRIX Z270E GAMING,1151
553,Gigabyte B450 I AORUS PRO WIFI-CF,AM4
554,MSI Z370-A PRO (MS-7B48),1151
556,ASUS TUF Z390-PRO GAMING,1151
564,ASUS PRIME Z370-A,1151
569,MSI Z270-A PRO (MS-7A71),1151
571,ASRock Z97 Extreme6,1150
585,ASUS ROG ZENITH II EXTREME ALPHA,sTRX4
592,ASUS MAXIMUS IX APEX,1151
594,ASRock X570 Phantom Gaming X,AM4
597,ASUS ROG STRIX Z370-H GAMING,1151
606,MSI Z370 GAMING PRO CARBON AC (MS-7B45),1151
607,ASRock Z390 Phantom Gaming-ITX/ac,1151
609,ASUS CROSSHAIR V FORMULA-Z,AM3+
614,MSI Z270 GAMING PRO CARBON (MS-7A63),1151
617,ASUS Z9PE-D8 WS,2011
635,ASRock B450M Steel Legend,AM4
638,ASUS PRIME Z490-P,1200
646,MSI Z170A GAMING M7 (MS-7976),1151
647,ASRock Z370 Professional Gaming i7,1151
649,Gigabyte X99-Designare EX-CF,2011-3
652,MSI Creator X299 (MS-7B96),2066
653,ASUS MAXIMUS VIII FORMULA,1151
654,Gigabyte Z97X-UD5H,1150
656,MSI X570-A PRO (MS-7C37),AM4
659,MSI X470 GAMING PRO MAX (MS-7B79),AM4
660,NZXT N7 Z390,1151
664,ASUS ROG STRIX B350-F GAMING,AM4
669,Gigabyte Z370M D3H-CF,1151
671,ASUS RAMPAGE IV EXTREME,2011
673,MSI MPG Z490 GAMING CARBON WIFI (MS-7C73),1200
682,Gigabyte Z390 GAMING X-CF,1151
683,MSI MPG B550 GAMING EDGE WIFI (MS-7C91),AM4
685,Gigabyte Z390 DESIGNARE-CF,1151
686,ASUS ROG ZENITH EXTREME ALPHA,TR4
687,Gigabyte Z270X-Gaming 9,1151
694,MSI MPG Z390 GAMING PLUS (MS-7B51),1151
697,MSI X399 GAMING PRO CARBON AC (MS-7B09),TR4
704,MSI B450 GAMING PLUS MAX (MS-7B86),AM4
705,MSI X99A GAMING 7 (MS-7885),2011-3
710,ASUS ROG STRIX X399-E GAMING,TR4
712,ASUS MAXIMUS V FORMULA,1155
715,MSI X370 GAMING PLUS (MS-7A33),AM4
719,Supermicro X10DRG-Q,2011-3
720,ASUS MAXIMUS IX FORMULA,1151
728,Gigabyte X399 AORUS PRO-CF,TR4
732,ASRock Z390 Phantom Gaming 9,1151
736,EVGA 131-HE-E095,2011-3
740,ASUS P8Z68-V PRO,1155
742,Gigabyte X399 AORUS Gaming 7,TR4
747,ASRock Z390 Phantom Gaming SLI/ac,1151
757,Gigabyte H81M-S2PH,1150
758,MSI X99A RAIDER (MS-7885),2011-3
760,Gigabyte Z97M-D3H,1150
762,Gigabyte X570 AORUS PRO,AM4
767,Gigabyte Z390 GAMING SLI-CF,1151
770,MSI Z97I GAMING AC (MS-7920),1150
786,ASRock Z97X Killer,1150
802,ASRock B85 Pro4,1150
805,ASUS X99-A/USB 3.1,2011-3
807,ASUS MAXIMUS VIII HERO,1151
811,MSI B450 GAMING PRO CARBON AC (MS-7B85),AM4
818,Gigabyte Z370 AORUS Ultra Gaming-CF,1151
820,Gigabyte G1.Sniper B5-CF,1150
822,MSI Z370 KRAIT GAMING (MS-7B46),1151
833,ASUS PRIME Z370-P II,1151
840,ASUS Z170I PRO GAMING,1151
841,Gigabyte X58A-UD7,1366
855,ASUS ROG STRIX B550-E GAMING,AM4
866,ASUS PRIME B450M-A,AM4
872,ASUS RAMPAGE IV BLACK EDITION,2011
874,ASUS PRIME Z270-A,AM4
876,ASUS Z97-AR,1150
877,ASRock Z390 Pro4,1151
887,ASUS TUF GAMING X570-PRO (WI-FI),AM4
891,ASUS ROG STRIX Z390-H GAMING,1151
893,ASUS Z170M-PLUS,1151
905,MSI B450M BAZOOKA (MS-7A38),AM4
906,ASRock Z370 Pro4-CB,1151
912,ASRock Z77 Extreme4,1155
918,ASRock X570 Phantom Gaming 4 WiFi ax,AM4
921,ASUS STRIX Z270H GAMING,1151
923,Gigabyte GA-990FX-GAMING,AM3+
929,Gigabyte 990FXA-UD3,AM3+
930,MSI Z170A MPOWER GAMING TITANIUM(MS-7A16),1151
933,ASRock Z390 Steel Legend,1151
934,ASUS TUF X299 MARK 2,2066
939,ASUS TUF Z390M-PRO GAMING (WI-FI),1151
940,Gigabyte X299X AORUS MASTER,2066
948,ASUSTeK PRIME Z270-AR,1151
952,EVGA 151-BE-E097,2011-3
954,MSI B450M MORTAR MAX (MS-7B89),AM4
956,ASRock X570 Steel Legend,AM4
957,ASUS ROG STRIX B550-F GAMING (WI-FI),AM4
961,ASUS PRIME B360M-K,1151
964,Gigabyte X58A-OC,1366
968,Gigabyte X299X AORUS XTREME WF,2066
971,Gigabyte P55A-UD4,1156
978,ASRock X570M Pro4,AM4
983,ASRock AB350M Pro4,AM4
989,Gigabyte X399 AORUS XTREME-CF,TR4
991,Gigabyte X470 AORUS ULTRA GAMING-CF,AM4
999,NVIDIA Z370 GAMING PRO CARBON AC (MS-7B45),1151
1001,Gigabyte Z390 M GAMING-CF,1151
1002,ASUS MAXIMUS VII HERO,1150
1004,ASRock X99M Killer,2011-3
1013,ASUS Z87-EXPERT,1150
1017,ASUS TUF B360-PRO GAMING,AM4
1018,NVIDIA Z370 GAMING M5 (MS-7B58),1151
1022,EVGA 151-HE-E999,2011-3
1023,EVGA 141-HW-E877,1150
1028,Gigabyte Z270X-Gaming 8,1151
1029,ASRock Z170 Pro4,1151
1034,ASUS MAXIMUS VIII IMPACT,1151
1038,ASUS Z87I-PRO,1150
1046,ASUS X79-DELUXE,2011
1048,ASUS Z97-PRO GAMER,1150
1051,Gigabyte Z77X-UD5H,1155
1052,MSI X99A GAMING PRO CARBON (MS-7A20),2011-3
1053,ASUS SABERTOOTH Z77,1155
1054,ASUS ROG STRIX B360-I GAMING,AM4
1055,ASUS X99-E WS,2011-3
1057,Gigabyte Z270X-Gaming 7,1151
1061,ASRock X99 Extreme4/3.1,2011-3
1063,Gigabyte G1.Sniper M3-CF,1150
1075,ASRock X470 Master SLI,AM4
1077,ASUS TUF Z370-PLUS GAMING II,1151
1083,EVGA 140-SS-E177,1151
1092,Gigabyte Z170X-Gaming 3,1151
1101,ASUS SABERTOOTH X99,2011-3
1105,MSI B250 GAMING M3 (MS-7A62),AM4
1107,MSI Z97-G55 SLI (MS-7921),1150
1110,ASUS Z170-DELUXE,1151
1116,ASUS STRIX Z270G GAMING,1151
1128,MSI Z170A XPOWER GAMING TITANIUM EDITION(MS-7968),1151
1130,ASRock Z97 Extreme4,1150
1132,NVIDIA Z370 TOMAHAWK (MS-7B47),1151
1136,MSI Z270 SLI (MS-7A59),1151
1138,ASUS P8Z77-V PREMIUM,1155
1139,ASUS SABERTOOTH X79,2011
1144,Gigabyte X299 AORUS Gaming 7 Pro,2066
1152,ASUSTeK Z170 PRO GAMING,1151
1154,MSI Z270 GAMING M5 (MS-7A78),1151
1157,ASUS MAXIMUS V EXTREME,1155
1167,ASUS SABERTOOTH Z170 MARK 1,1151
1175,MSI X370 SLI PLUS (MS-7A33),AM4
1176,ASUS Z170-E,1151
1183,ASUS X99-A,2011-3
1185,ASUS TUF GAMING X570-PLUS,AM4
1186,Gigabyte X99-SOC Champion-CF,2011-3
1187,NVIDIA Z170A GAMING M7 (MS-7976),1151
1188,Gigabyte Z97X-Gaming G1,1150
1194,ASRock Z87M OC Formula,1150
1199,ASRock Z270 Gaming-ITX/ac,1151
1202,ASUS P8Z77 WS,1155
1203,EVGA 142-HR-E977,1150
1206,NVIDIA Z270 GAMING M7 (MS-7A57),1151
1207,ASRock Z170 Gaming K4,1151
1209,ASUS PRIME X299-A,2066
1219,Gigabyte Z170X-GamingG1,1151
1220,NVIDIA X370 GAMING PRO CARBON (MS-7A32),AM4
1228,ASUS P9X79-E WS,2011
1231,NVIDIA X299 GAMING M7 ACK (MS-7A90),2066
1232,ASUS SABERTOOTH Z87,1150
1233,ASUS Maximus IV GENE-Z,1155
1239,MSI X99S SLI PLUS (MS-7885),2011-3
1241,Gigabyte Z97-HD3,1150
1243,NVIDIA Z97-G45 GAMING (MS-7821),1150
1245,Gigabyte X99-Ultra Gaming-CF,2011-3
1252,ASUS MAXIMUS VIII HERO ALPHA,1151
1256,ASUS Z97-K,1150
1261,ASUS ROG STRIX B550-A GAMING,AM4
1262,ASRock X99E-ITX/ac,2011-3
1263,ASRock X99 Extreme4,2011-3
1267,MSI X99S GAMING 7 (MS-7885),2011-3
1270,NVIDIA Z270 PC MATE (MS-7A72),1151
1276,Gigabyte Z77X-UD3H,1155
1277,ASRock Z75 Pro3,1155
1279,Gigabyte Z97X-UD5H-BK,1150
